code,isbn,title
L3021,9787107339219,同步解析与测评学考练 英语 必修第一册
L3022,9787107339677,同步解析与测评学考练 英语 必修第二册
L3025,9787107351464,同步解析与测评学考练 英语 选择性必修第二册
L3026,9787107351471,同步解析与测评学考练 英语 选择性必修第三册
L6008,9787218089263,2025年名师小课堂高考总复习英语（教参）
L6005,9787535960450,2025年高考总复习核按钮语文（教参）
L7087,9787536173798,金版学案高中同步辅导与检测 思想政治 必修4哲学与文化人教版（教参）
L7010,9787536174764,金版学案高中同步辅导与检测 语文 必修上册人教版（教参）
L7012,9787536175044,金版学案高中同步辅导与检测 语文 选择性必修上册人教版（教参）
L7034,9787536175297,金版学案高中同步辅导与检测 英语 选择性必修第三册人教版（教参）
L6027,9787536176614,2025年金版学案高考总复习地理（教参）
L6016,9787536176652,2025年金版学案高考总复习思想政治（教参）
L7062,9787536176881,金版学案高中同步辅导与检测 历史 选择性必修1国家制度与社会治理（教参）
L7033,9787536176935,金版学案高中同步辅导与检测 英语 选择性必修第二册人教版（教参）
L7013,9787536177260,金版学案高中同步辅导与检测 语文 选择性必修中册人教版（教参）
L7088,9787536177284,金版学案高中同步辅导与检测 思想政治 选择性必修1当代国际政治与（教参）
L7032,9787536177314,金版学案高中同步辅导与检测 英语 选择性必修第一册人教版（教参）
L7060,9787536177406,金版学案高中同步辅导与检测 历史 必修中外历史纲要（上）人教版（教参）
L7084,9787536177482,金版学案高中同步辅导与检测 思想政治 必修1中国特色社会主义人教（教参）
L7085,9787536177499,金版学案高中同步辅导与检测 思想政治 必修2经济与社会人教版（教参）
L7029,9787536177604,金版学案高中同步辅导与检测 英语 必修第一册人教版（教参）
L7030,9787536177697,金版学案高中同步辅导与检测 英语 必修第二册人教版（教参）
L7063,9787536177758,金版学案高中同步辅导与检测 历史 选择性必修2经济与社会生活人教（教参）
L7089,9787536177925,金版学案高中同步辅导与检测 思想政治 选择性必修2法律与生活人教（教参）
L7005,9787540554996,百年学典全优课堂 语文 必修上册人教版（教参）
L7077,9787540565350,百年学典全优课堂 思想政治 必修1中国特色社会主义人教版（教参）
L6020,9787550716261,2025年课堂新坐标高考总复习历史(人教版）（教参）
L6018,9787550737983,2025年课堂新坐标高考总复习政治（教参）
L6004,9787550738003,2025年课堂新坐标高考总复习语文（教参）
L7000,9787554831687,南方新课堂金牌学案 语文 必修上册人教版（教参）
L7002,9787554831700,南方新课堂金牌学案 语文 选择性必修上册人教版（教参）
L7003,9787554831717,南方新课堂金牌学案 语文 选择性必修中册人教版（教参）
L7015,9787554831786,南方新课堂金牌学案 英语 必修第一册人教版（教参）
L7016,9787554831793,南方新课堂金牌学案 英语 必修第二册人教版（教参）
L7018,9787554831816,南方新课堂金牌学案 英语 选择性必修第一册人教版（教参）
L7019,9787554831823,南方新课堂金牌学案 英语 选择性必修第二册人教版（教参）
L7020,9787554831830,南方新课堂金牌学案 英语 选择性必修第三册人教版（教参）
L7050,9787554832141,南方新课堂金牌学案 历史 必修1中外历史纲要（上）人教版（教参）
L7052,9787554832165,南方新课堂金牌学案 历史 选择性必修1国家制度与社会治理人教版（教参）
L7053,9787554832172,南方新课堂金牌学案 历史 选择性必修2经济与社会生活人教版（教参）
L7070,9787554833551,南方新课堂金牌学案 思想政治 必修1中国特色社会主义人教版（教参）
L7071,9787554833568,南方新课堂金牌学案 思想政治 必修2经济与社会人教版（教参）
L7074,9787554833599,南方新课堂金牌学案 思想政治 选择性必修1当代国际政治与经济人教（教参）
L7075,9787554833605,南方新课堂金牌学案 思想政治 选择性必修2法律与生活人教版（教参）
L7023,9787554838549,百年学典全优课堂 英语 必修第二册人教版（教参）
L7080,9787554838655,百年学典全优课堂 思想政治 必修4哲学与文化人教版（教参）
L7078,9787554838709,百年学典全优课堂 思想政治 必修2经济与社会人教版（教参）
L7026,9787554838723,百年学典全优课堂 英语 选择性必修第二册人教版（教参）
L7027,9787554838730,百年学典全优课堂 英语 选择性必修第三册人教版（教参）
L7025,9787554839072,百年学典全优课堂 英语 选择性必修第一册人教版（教参）
L6017,9787554840214,2025年百年学典高考总复习思想政治（教参）
L6025,9787554840245,2025年百年学典高考总复习地理（教参）
L7007,9787554843185,百年学典全优课堂 语文 选择性必修上册人教版（教参）
L7008,9787554843192,百年学典全优课堂 语文 选择性必修中册人教版（教参）
L7055,9787554843406,百年学典全优课堂 历史 必修1中外历史纲要（上）人教版（教参）
L7022,9787554843420,百年学典全优课堂 英语 必修第一册人教版（教参）
L7058,9787554843727,百年学典全优课堂 历史 选择性必修2经济与社会生活人教版（教参）
L7057,9787554843734,百年学典全优课堂 历史 选择性必修1国家制度与社会治理人教版（教参）
L7081,9787554843772,百年学典全优课堂 思想政治 选择性必修1当代国际政治与经济人教版（教参）
